Timestamp,First choice,Second choice,Third choice
3/16/2019 23:33:13,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:33:25,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:33:40,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:33:42,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:33:45,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:33:49,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:33:54,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:33:55,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:34:06,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:34:10,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:34:13,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:34:14,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:34:16,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:34:34,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:34:44,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:34:49,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:34:55,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:34:59,@mattyglesias,@mattyglesias,@mattyglesias
3/16/2019 23:35:01,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:35:02,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:35:07,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:35:14,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:35:20,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:35:44,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:35:45,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:35:52,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:36:05,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:36:42,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:36:45,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:36:56,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:36:58,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:37:12,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:37:15,@mattyglesias,@mattyglesias,@mattyglesias
3/16/2019 23:37:26,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:37:39,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:37:44,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:37:51,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:37:54,@scottlincicome,@mattyglesias,@AlanMCole
3/16/2019 23:37:58,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:38:03,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:38:04,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:38:05,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:38:11,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:38:34,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:38:38,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:38:39,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:38:42,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:38:48,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:39:07,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:39:09,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:39:11,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:39:38,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:39:38,@mattyglesias,@AlanMCole,@scottlincicome
